id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48085443,Apartamento de una habitación en el gótico,342495616,B&F Homes,Ciutat Vella,el Barri Gòtic,41.38113,2.17773,Entire home/apt,24,1,0,,,16,45,0,Exempt
48085454,Apartamento de dos habitaciones en el gótico,342495616,B&F Homes,Ciutat Vella,el Barri Gòtic,41.38223,2.17636,Entire home/apt,40,1,1,2021-07-18,0.35,16,14,1,Exempt
48088464,Casa Cosi - El Farró,35936647,Casa Cosi,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40437,2.14583,Entire home/apt,188,3,1,2021-08-07,0.45,35,347,1,HUTB-004624
48093421,BB-Apartamento en casco antiguo,22076771,Luis,Ciutat Vella,el Barri Gòtic,41.38022,2.17894,Entire home/apt,55,31,0,,,21,283,0,
48098679,Beautiful apartment few steps from La Rambla - 1A,250042982,Nerea,Ciutat Vella,el Raval,41.380527,2.17229,Entire home/apt,52,1,0,,,26,50,0,Exempt
48098711,Beautiful apartment few steps from La Rambla - 4A,250042982,Nerea,Ciutat Vella,el Raval,41.380527,2.17229,Entire home/apt,54,1,0,,,26,101,0,Exempt
48098967,2 bedroom apartment with views in city center,172462374,Apartaments Unió,Ciutat Vella,el Raval,41.38013,2.1723,Entire home/apt,90,32,4,2021-08-15,0.70,13,246,4,
48102270,Room for 2 with private bathroom Sagrada Familia,385593314,Serhii,Sant Martí,el Camp de l'Arpa del Clot,41.41031,2.17827,Private room,22,1,28,2021-09-12,3.68,4,0,28,Exempt
48104797,Modern 2 Bedroom Apartment in Consell de Cent,346367515,Stay Ukio,Eixample,la Nova Esquerra de l'Eixample,41.38125,2.15102,Entire home/apt,61,31,0,,,54,194,0,
48109092,Nice 2 bedrooms Apartment Next to Via Laietana,387949005,Nathan Daniel,Ciutat Vella,el Barri Gòtic,41.38464,2.17765,Entire home/apt,100,3,5,2021-09-16,5,1,112,5,Exempt
